"Name","InstanceId","Status","Class","FriendlyName","HardwareID"
"LG HDR 4K (2- NVIDIA High Definition Audio)","SWD\MMDEVAPI\{0.0.0.00000000}.{017D112A-A59B-4E6F-8077-FC4FAE904D25}","OK","AudioEndpoint","LG HDR 4K (2- NVIDIA High Definition Audio)","System.String[]"
"Intel(R) Xeon(R) processor P family/Core i7 DMI3 Port - 2020","PCI\VEN_8086&DEV_2020&SUBSYS_07381028&REV_04\3&11583659&0&00","OK","System","Intel(R) Xeon(R) processor P family/Core i7 DMI3 Port - 2020","System.String[]"
"Volume","STORAGE\VOLUME\{882ED161-E4D1-11EC-A496-806E6F6E6963}#000001FB35F00000","OK","Volume","Volume","System.String[]"
"Generic Access Profile","BTHLEDEVICE\{00001800-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B35B_REV&0013_EEA0065980A5\8&16721691&0&0001","OK","Bluetooth","Generic Access Profile","System.String[]"
"Communications Port (COM1)","ACPI\PNP0501\0","OK","Ports","Communications Port (COM1)","System.String[]"
"HID-compliant vendor-defined device","HID\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B35B_REV&0013_EEA0065980A5&COL04\9&31D1F8C4&0&0003","OK","HIDClass","HID-compliant vendor-defined device","System.String[]"
"Intel(R) PCI Express Root Port #7 - A296","PCI\VEN_8086&DEV_A296&SUBSYS_07381028&REV_F0\3&11583659&0&E6","OK","System","Intel(R) PCI Express Root Port #7 - A296","System.String[]"
"E7 Avrcp Transport","BTHENUM\{0000110E-0000-1000-8000-00805F9B34FB}_LOCALMFG&0002\7&B265E0C&0&FC58FA783748_C00000000","OK","Bluetooth","E7 Avrcp Transport","System.String[]"
"Bluetooth LE Generic Attribute Service","BTHLEDEVICE\{00010000-0000-1000-8000-011F2000046D}_DEV_VID&02046D_PID&B35B_REV&0013_EEA0065980A5\8&16721691&0&0048","OK","Bluetooth","Bluetooth LE Generic Attribute Service","System.String[]"
"Microsoft Kernel Debug Network Adapter","ROOT\KDNIC\0000","OK","Net","Microsoft Kernel Debug Network Adapter","System.String[]"
"Headphones (Alex’s AirPods)","SWD\MMDEVAPI\{0.0.0.00000000}.{F4E709AB-D3F2-4D00-8836-2AF38F779F14}","Unknown","AudioEndpoint","Headphones (Alex’s AirPods)","System.String[]"
"Bedroom chromecast","SWD\DAFUPNPPROVIDER\UUID:9D35CCB1-ABAE-310E-8BAD-DE390FB0813A","Unknown","SoftwareDevice","Bedroom chromecast","System.String[]"
"Razer Control Device","RZCONTROL\VID_1532&PID_0084&MI_00\8&23F8D516&0","OK","Razer Device","Razer Control Device","System.String[]"
"Generic Non-PnP Monitor","DISPLAY\DEFAULT_MONITOR\5&1ECD3B42&6&UID774401","Unknown","Monitor","Generic Non-PnP Monitor","System.String[]"
"Generic Non-PnP Monitor","DISPLAY\DEFAULT_MONITOR\5&1ECD3B42&6&UID774403","Unknown","Monitor","Generic Non-PnP Monitor","System.String[]"
"Generic Non-PnP Monitor","DISPLAY\DEFAULT_MONITOR\5&1ECD3B42&6&UID774405","Unknown","Monitor","Generic Non-PnP Monitor","System.String[]"
"Generic Non-PnP Monitor","DISPLAY\DEFAULT_MONITOR\5&1ECD3B42&6&UID774407","Unknown","Monitor","Generic Non-PnP Monitor","System.String[]"
"ST10000NM0086-2AA101","SCSI\DISK&VEN_ATA&PROD_ST10000NM0086-2A\4&296A7F82&0&030000","OK","DiskDrive","ST10000NM0086-2AA101","System.String[]"
"EMBERTON Avrcp Transport","BTHENUM\{0000110E-0000-1000-8000-00805F9B34FB}_LOCALMFG&0002\7&B265E0C&0&0421446BBFFB_C00000000","OK","Bluetooth","EMBERTON Avrcp Transport","System.String[]"
"Generic volume shadow copy","STORAGE\VOLUMESNAPSHOT\HARDDISKVOLUMESNAPSHOT1","OK","VolumeSnapshot","Generic volume shadow copy","System.String[]"
"Generic volume shadow copy","STORAGE\VOLUMESNAPSHOT\HARDDISKVOLUMESNAPSHOT2","Unknown","VolumeSnapshot","Generic volume shadow copy","System.String[]"
"Generic volume shadow copy","STORAGE\VOLUMESNAPSHOT\HARDDISKVOLUMESNAPSHOT3","OK","VolumeSnapshot","Generic volume shadow copy","System.String[]"
"Generic volume shadow copy","STORAGE\VOLUMESNAPSHOT\HARDDISKVOLUMESNAPSHOT4","OK","VolumeSnapshot","Generic volume shadow copy","System.String[]"
"Generic volume shadow copy","STORAGE\VOLUMESNAPSHOT\HARDDISKVOLUMESNAPSHOT5","OK","VolumeSnapshot","Generic volume shadow copy","System.String[]"
"Generic volume shadow copy","STORAGE\VOLUMESNAPSHOT\HARDDISKVOLUMESNAPSHOT6","OK","VolumeSnapshot","Generic volume shadow copy","System.String[]"
"Generic volume shadow copy","STORAGE\VOLUMESNAPSHOT\HARDDISKVOLUMESNAPSHOT7","OK","VolumeSnapshot","Generic volume shadow copy","System.String[]"
"Generic volume shadow copy","STORAGE\VOLUMESNAPSHOT\HARDDISKVOLUMESNAPSHOT8","Unknown","VolumeSnapshot","Generic volume shadow copy","System.String[]"
